# FeHinit Minit FeH sigma_FeH FeH_low FeH_high sigma_FeH_low sigma_FeH_high
-5.0 4.12716 -4.999952 5.9e-05 -5.0 -5.0 0.0 0.0
-5.0 4.1765550000000005 -4.999757 0.000281 -5.0 -5.0 0.0 0.0
-5.0 4.226581 -4.999126 0.001436 -5.0 -5.0 0.0 0.0
-5.0 4.277002 -4.9891879999999995 0.013706999999999999 -5.0 -4.999952 0.0 0.0001799999999999983
-5.0 4.326423 -4.994389 0.010811999999999999 -5.0 -5.0 0.0 0.0
-5.0 4.3762039999999995 -4.992536 0.013045 -5.0 -5.0 0.0 0.0
-5.0 4.427269000000001 -4.970567 0.04092799999999999 -5.0 -4.995812000000001 0.0 0.006371999999999994
-5.0 4.476028 -4.963998 0.059434999999999995 -5.0 -4.995352 0.0 0.005995999999999998
-5.0 4.526928 -4.962890000000001 0.05418 -5.0 -4.9814240000000005 0.0 0.04255599999999988
-5.0 4.576662 -4.92555 0.113094 -5.0 -4.8420119999999995 0.0 0.3565879999999999
-5.0 4.626856000000001 -4.922575 0.132486 -5.0 -4.8082 0.0 0.38746399999999986
-5.0 4.67789 -4.885301 0.18711 -5.0 -4.735804 0.0 0.5136439999999999
-5.0 4.726668999999999 -4.898348 0.181127 -5.0 -4.72894 0.0 0.5874599999999999
-5.0 4.777557000000001 -4.842296000000001 0.262951 -5.0 -4.6301440000000005 0.0 0.6686
-5.0 4.827124 -4.831565 0.267855 -5.0 -4.588532 0.0 0.6742400000000001
-5.0 4.876807 -4.8003979999999995 0.33516199999999996 -5.0 -4.595616 0.0 0.663732
-5.0 4.92768 -4.751268 0.38387899999999997 -4.999232 -4.5199359999999995 0.001436 0.751308
-5.0 4.976927 -4.710356999999999 0.432352 -4.999699999999999 -4.381764 0.000368 0.825744
-5.0 5.027191 -4.601902 0.544805 -4.903908 -4.320808 0.199976 0.8571840000000001
-5.0 5.077383 -4.6140099999999995 0.5541309999999999 -4.896464 -4.308484 0.194644 0.8751439999999999
-5.0 5.126764999999999 -4.492698 0.653903 -4.824716 -4.181547999999999 0.31288800000000005 0.9157959999999999
-5.0 5.177230999999999 -4.391205 0.7495080000000001 -4.689936 -4.150740000000001 0.561756 0.926192
-5.0 5.227092000000002 -4.344244 0.7691499999999999 -4.617864 -4.048284000000001 0.568764 0.9552480000000001
-5.0 5.276935 -4.217118 0.8149279999999999 -4.541303999999999 -3.932912 0.6589959999999999 0.96466
-5.0 5.327166000000001 -4.119848 0.867414 -4.40518 -3.834524 0.727096 1.009684
-5.0 5.376988000000001 -4.014832999999999 0.898603 -4.241136 -3.7314040000000004 0.800184 1.016928
-5.0 5.426955000000003 -3.869396 0.902036 -4.126688 -3.5800080000000003 0.781836 1.024916
-5.0 5.477216000000001 -3.8527520000000006 0.9288600000000001 -4.075976 -3.590804 0.825524 1.0265680000000001
-5.0 5.5269449999999996 -3.7111110000000007 0.9488530000000002 -3.9188680000000002 -3.473472 0.84716 1.055656
-5.0 5.577577 -3.6012459999999997 0.9535189999999999 -3.8070880000000002 -3.335292 0.843556 1.054444
-5.0 5.627102 -3.4380660000000005 0.9352630000000001 -3.658304 -3.19592 0.793496 1.0382479999999998
-5.0 5.677245 -3.3877360000000003 0.92801 -3.5701 -3.1802119999999996 0.8028199999999999 1.0350359999999998
-5.0 5.727192 -3.2553510000000005 0.9099970000000002 -3.481752 -3.030184 0.7619199999999999 1.0348
-5.0 5.776958 -3.1173529999999996 0.8663540000000001 -3.282044 -2.936808 0.756584 0.9940479999999999
-5.0 5.827388000000001 -2.999288000000001 0.8336239999999998 -3.145816 -2.826084 0.701708 0.986888
-5.0 5.877015 -2.8953409999999997 0.800111 -3.0421720000000003 -2.733816 0.648184 0.956108
-5.0 5.927195 -2.823602 0.7878780000000002 -2.9697359999999997 -2.684176 0.6200239999999999 0.987892
-5.0 5.977062 -2.725342999999999 0.755235 -2.8064880000000003 -2.610308 0.613204 0.914544
-5.0 6.027074 -2.6382500000000007 0.727003 -2.7501879999999996 -2.541728 0.559008 0.9211999999999999
-5.0 6.077171999999999 -2.542504 0.6860200000000001 -2.617628 -2.4471360000000004 0.536204 0.8671719999999999
